	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	-0.20162089	-0.059730254	-0.023415586	-0.11454107	-0.028453333	-0.081519455	-0.010261546	0.03996683	0.073604584	0.07831695	0.03910769	0.13262384	0.10445696	0.036187664	-0.05929452	-0.106019914	0.008377694	-0.061499428	-0.008568656	0.028520687	0.040314265	0.0749681	-0.03440258	-0.08199847	0.026039205	0.06411687	0.07847588	-0.08842237	0.043516785	0.023358725	0.010082263	0.118107766	0.1325614	-0.004251413	-0.054044593	0.084843576	0.0028164405	0.09882342	0.05213271	-0.012190448	0.07968025	-0.029962229	0.07770515	0.057439484	0.045149766	-0.019487843	0.025074098	0.015227631	-0.06850805	-0.075805895	0.05974896	0.047684606	0.07092061	0.04118994	0.11966038	-0.013689123	-0.007297145	-0.083061084	0.02979642	-0.059043437	-0.061068125	-0.103415735	-0.094774656	-0.058781236
1	-0.13631484	0.01590366	0.028183565	-0.09135057	-0.0030165925	-0.06751766	-0.008717809	-0.011675309	0.069619924	0.13782158	0.0501648	0.077275686	0.08080183	0.046104707	-0.07713024	-0.14524855	0.038428187	-0.1100115	-0.035172604	0.046617586	0.013941616	0.12804127	0.018753694	-0.07349918	-0.03766219	0.053718314	0.07367542	-0.036241334	-0.038525924	-0.00020229071	-0.021644844	0.116317704	0.10955809	-0.002298994	-0.07092326	0.05738453	-0.058227215	0.0730049	0.022775084	0.03811697	0.08694205	-0.012667721	0.016796447	0.085609004	0.10135674	-0.0051889247	0.025767148	0.025195532	-0.01180839	-0.06820274	0.0014184304	0.08694014	0.018421326	0.008402891	0.064356275	-0.02632015	-0.010595966	-0.068136945	0.020745078	0.029011957	-0.028275944	-0.051111605	-0.13888142	-0.04740102
2	-0.14729781	0.004625454	-0.016552128	-0.08670582	0.017517198	-0.08295372	-0.015017298	-0.017660532	0.10517773	0.103163764	0.016682018	0.07549387	0.05606374	0.0022423174	-0.03412353	-0.11996856	0.019138329	-0.123378836	-0.08220731	0.017826641	-0.0005361419	0.091859676	0.008880539	-0.07143119	-0.031176036	0.09739861	0.09703916	-0.02709303	0.012139994	-0.021147601	-0.02521076	0.11995122	0.08645588	-0.03869982	-0.06289087	-0.0037739566	-0.035940174	0.117242575	0.059206128	0.025002562	0.07888998	-0.045182146	0.07664738	0.16749473	0.014633573	-0.02019885	-0.0005650704	0.032793377	0.01579374	-0.041097168	0.056314494	0.06907387	0.008846607	-0.0053399745	0.09896225	-0.055850707	0.013337157	-0.058058046	0.013501363	0.037580136	-0.04934374	-0.09561643	-0.13429372	-0.07354957
3	-0.08137922	-0.033366825	0.06646139	-0.11662345	0.029175067	-0.08528933	-0.039149515	0.0141979195	0.09544034	0.13500111	-0.0030168835	0.070796415	0.10583194	0.007678576	-0.096366316	-0.16294222	0.1353568	-0.100012794	-0.04027162	-0.025267566	0.04439529	0.11280549	0.01722942	-0.039864488	-0.03798625	0.05907903	0.058354415	-0.08379258	-0.040183842	-0.022665404	0.020371756	0.117485896	0.08978571	-0.05313491	-0.037098028	0.025033787	0.012873393	0.040074892	0.1136442	0.043592595	0.060661204	-0.00035170093	0.07334866	0.09332149	0.023438858	0.02087112	0.0005237553	0.0007955283	-0.043938585	-0.011916787	0.05381135	0.044844277	0.07035045	-0.016131584	0.117335856	-0.03172603	-0.00414804	-0.0856162	-0.023015086	-0.01870315	-0.07305809	-0.12019517	-0.08654831	-0.04536614
4	-0.13377611	-0.05883655	0.023472968	-0.08277055	0.014986856	-0.08871987	-0.09236688	-0.067652196	0.04397571	0.12128773	0.050490797	0.053119104	0.071599215	0.013809189	-0.06649482	-0.1526413	0.0002449602	-0.09709247	-0.044714615	0.0132500455	0.024426375	0.032038197	-0.06579353	-0.03594213	-0.023123605	0.11525318	0.12160244	-0.069607675	-0.017719178	0.01055297	-0.020924084	0.16341384	0.016928889	-0.018121134	-0.042612974	0.11733773	-0.022258308	0.10129018	0.10410313	-0.04010167	0.119149625	-0.04612233	0.06457677	0.040359303	9.4235875e-05	-0.045629263	0.03752213	0.016505655	-0.024549609	0.010310171	-0.008344531	0.07460969	0.060477056	0.011571972	0.09488677	-0.072459534	0.010819395	-0.043130394	0.012496507	-0.028403753	-0.07066185	-0.07079521	-0.10964459	-0.049411856
5	-0.15003896	-0.004404406	-0.08411066	-0.040917013	-0.009693757	-0.14535439	-0.065699264	-0.0006882064	0.051047444	0.08776617	0.0032986067	0.057526857	0.05123862	0.013745446	-0.10609337	-0.07879366	0.043554567	-0.077742495	-0.08823261	-0.053280238	0.0128306635	0.09005244	0.011908749	-0.0077506043	-0.0071022026	0.09239058	0.10243942	-0.065684505	-0.05551339	-0.05598749	-0.0011385791	0.09887603	0.076969266	-0.037007153	-0.081564195	0.028976213	-0.04696516	0.06210164	0.056829393	0.016850308	0.06657025	0.014116455	0.04771196	0.10523452	0.069221415	0.0030062352	0.026544556	-0.011220165	-0.035915673	-0.047705777	0.036150504	0.093781434	0.051039316	-0.017956639	0.07972897	-0.048257474	0.036041096	-0.06788439	0.061969277	0.0139110135	-0.044447504	-0.07144563	-0.12863919	-0.069398366
6	-0.1553409	-0.06461901	-0.011312527	-0.07721849	-0.019336848	-0.07113534	-0.05176019	-0.050023235	0.06223532	0.080616035	-0.009410866	0.07051177	0.1158241	-0.015804823	-0.077395484	-0.14168449	0.053979218	-0.05822155	-0.05657861	0.03642487	-0.025703486	0.08690561	0.012081772	-0.066869184	-0.002736196	0.11546126	0.11926865	-0.053132854	-0.014489923	0.049899768	-0.012479797	0.14418079	0.0839092	0.020577911	-0.08400847	0.09759227	-0.01280282	0.062695056	0.06618177	0.01837615	0.14782761	-0.03294407	0.07941184	0.080556065	0.024943732	-0.01388646	-0.029581906	0.0043233484	-0.09584078	-0.08616367	0.03383552	0.012638142	0.030297818	-0.033637084	0.058912143	-0.040410973	-0.026818233	-0.049935434	0.018807786	-0.050110072	-0.076444834	-0.12845457	-0.12999465	-0.09522689
7	-0.16074234	0.0059260866	-0.0035405112	-0.100234486	-0.0055171945	-0.07489275	-0.02173431	0.00085202605	0.09338343	0.09437886	0.017819569	0.08297865	0.08372423	-0.0058862814	-0.035885446	-0.12775862	0.029355612	-0.09916591	-0.06364772	0.017147152	0.006313411	0.075838186	0.010201287	-0.0684904	-0.028756443	0.08355287	0.09459609	-0.06850314	0.012124948	-0.014377592	-0.011745306	0.12986688	0.093177825	-0.031062176	-0.06276704	0.034821387	-0.038810633	0.11930818	0.07576395	0.012697257	0.08519976	-0.033982057	0.084510624	0.16106689	0.03531868	-0.0031406274	-0.002550798	0.044648085	-0.0009398218	-0.039126262	0.05250579	0.0766635	0.025111867	-0.00476199	0.109718874	-0.04439967	-0.006751811	-0.06840763	0.00058223866	0.009196458	-0.052994356	-0.088120356	-0.13867112	-0.082849786
8	-0.15624875	-0.012083332	0.010549481	-0.0787603	-0.0009587542	-0.085471794	-0.02301652	0.008350894	0.088802285	0.10003391	0.019627225	0.07359913	0.058227405	0.015698452	-0.03203032	-0.10268846	0.031191345	-0.115932405	-0.05983582	0.0057089217	0.015447677	0.07647657	0.016805397	-0.06347643	-0.031937048	0.110075384	0.11705831	-0.06960938	0.0036346763	-0.00686804	-0.014138298	0.106090836	0.07962075	-0.053272724	-0.053395964	0.03807819	-0.025711624	0.08478266	0.07084932	0.028903496	0.067664616	-0.00043159723	0.078916505	0.13798447	0.043897223	0.012373498	0.004843279	0.03535234	-0.026670692	-0.07313685	0.04620264	0.08499524	0.010009415	-0.0007530842	0.105202764	-0.06268376	0.018113956	-0.042502727	0.014174501	0.0010812487	-0.06452693	-0.10083936	-0.14926875	-0.06568691
9	-0.18466467	0.028228652	-0.020453187	-0.122960374	0.0035417122	-0.079542376	-0.020121152	-0.0140576735	0.11287959	0.11004044	0.026566144	0.08774854	0.090599634	-0.024107572	-0.0243599	-0.138097	0.04647485	-0.12567356	-0.060851492	0.019048285	-0.013641107	0.09580256	0.016304899	-0.08285115	-0.029043946	0.09101437	0.112301804	-0.07379529	0.015117167	-0.038094245	-0.02528182	0.15803005	0.102298476	-0.01557393	-0.070637316	0.020711206	-0.06524104	0.13747302	0.09751225	0.006995894	0.096113265	-0.047246363	0.09602736	0.21186614	0.04344987	0.009504782	0.0042782575	0.052426215	0.008904623	-0.041530095	0.083969705	0.10165753	0.021136994	-0.0016049496	0.13847248	-0.046249047	-0.008869041	-0.07097648	-0.012578582	0.016309418	-0.058530666	-0.11240366	-0.1604872	-0.1199532
